Матрица расстояний:
     |  u01 u02 u03 u04 u05 u06 u07 u08 u09
-------------------------------------------
 u01 |   0   1   2   2   2   2   2   2   1
     |
 u02 |   1   0   2   2   2   2   2   2   1
     |
 u03 |   2   2   0   1   2   2   2   2   1
     |
 u04 |   2   2   1   0   2   2   2   2   1
     |
 u05 |   2   2   2   2   0   1   2   2   1
     |
 u06 |   2   2   2   2   1   0   2   2   1
     |
 u07 |   2   2   2   2   2   2   0   1   1
     |
 u08 |   2   2   2   2   2   2   1   0   1
     |
 u09 |   1   1   1   1   1   1   1   1   0
 
